municipio,departamento,temp_media_anual
Armenia,Quindío,22.15
Quípama,Boyacá,22.05
Don Matías,Antioquia,22.03
Bello,Antioquia,22.0
Andes,Antioquia,21.97
Buenavista,Quindío,21.9
Convención,Norte de Santander,21.9
Yalí,Antioquia,21.9
Teorama,Norte de Santander,21.8
San Francisco,Antioquia,21.77
Valdivia,Antioquia,21.73
Charalá,Santander,21.7
Cañasgordas,Antioquia,21.57
Santo Domingo,Antioquia,21.53
Guadalupe,Santander,21.5
Altamira,Huila,21.48
Lebrija,Santander,21.47
San Antonio,Tolima,21.45
Ocaña,Norte de Santander,21.42
Chinchina,Caldas,21.4
Pereira,RIsaralda,21.38
Dolores,Tolima,21.15
Ábrego,Norte de Santander,21.1
Campohermoso,Boyacá,21.1
Yacopí,Cundinamarca,21.02
Íquira,Huila,21.02
Nóvita,Chocó,20.93
Trujillo,Valle del Cauca,20.9
Buriticá,Antioquia,20.8
Santa María,Huila,20.8
Yumbo,Valle del Cauca,20.7
Calarcá,Quindío,20.6
Argelia,Valle del Cauca,20.5
Garzón,Huila,20.43
Silvania,Cundinamarca,20.4
Pitalito,Huila,20.4
Venecia,Antioquia,20.3
Marquetalia,Caldas,20.1
Frontino,Antioquia,20.07
La Playa,Norte de Santander,20.05
Líbano,Tolima,20.0
Colombia,Huila,19.95
Ricaurte,Nariño,19.9
Gigante,Huila,19.9
Samaniego,Nariño,19.85
Consacá,Nariño,19.83
Samaná,Caldas,19.65
Popayán,Cauca,19.6
Tuluá,Valle del Cauca,19.51
Albania,Santander,19.4
Gachetá,Cundinamarca,19.33
Santuario,RIsaralda,19.25
Piendamó,Cauca,19.25
Anorí,Antioquia,19.23
Chachaguí,Nariño,19.2
Tibacuy,Cundinamarca,19.2
Pajarito,Boyacá,19.1
Sevilla,Valle del Cauca,19.03
Moniquirá,Boyacá,19.0
Alejandría,Antioquia,18.98
Zapatoca,Santander,18.9
Mogotes,Santander,18.9
Miraflores,Boyacá,18.77
Concordia,Antioquia,18.67
Cajibío,Cauca,18.6
Bolívar,Cauca,18.58
Pueblo Rico,RIsaralda,18.57
Suratá,Santander,18.53
Caldas,Antioquia,18.2
Peñol,Antioquia,18.18
Gámbita,Santander,18.15
San Agustín,Huila,18.02
La Sierra,Cauca,18.0
Santa Rosa de Cabal,RIsaralda,18.0
San Vicente,Antioquia,18.0
Taminango,Nariño,17.9
Sutatenza,Boyacá,17.87
Cajamarca,Tolima,17.82
Ragonvalia,Norte de Santander,17.76
Jardín,Antioquia,17.55
El Cerrito,Valle del Cauca,17.44
Boavita,Boyacá,17.37
Anolaima,Cundinamarca,17.25
Macanal,Boyacá,17.23
Urrao,Antioquia,17.18
Anserma,Caldas,17.15
Rovira,Tolima,17.15
Villahermosa,Tolima,17.05
Villa de Leiva,Boyacá,17.05
Páez (Belalcázar),Cauca,17.0
Cáchira,Norte de Santander,17.0
Chiscas,Boyacá,16.93
Rionegro,Antioquia,16.93
Ciudad Bolívar,Antioquia,16.83
Puerres,Nariño,16.75
Aguadas,Caldas,16.7
Manizales,Caldas,16.56
Pacho,Cundinamarca,16.45
Ramiriquí,Boyacá,16.4
Vélez,Santander,16.4
Santa Sofía,Boyacá,16.15
San Cayetano,Cundinamarca,16.1
Guadalupe,Huila,16.0
Rondón,Boyacá,16.0
Colón,Putumayo,15.85
Buenavista,Boyacá,15.85
Inzá,Cauca,15.77
Nobsa,Boyacá,15.7
Funes,Nariño,15.7
San Bernardo,Nariño,15.7
Pasca,Cundinamarca,15.68
Guayabal de Síquima,Cundinamarca,15.5
Sibundoy,Putumayo,15.5
Sativanorte,Boyacá,15.33
Pamplona,Norte de Santander,15.1
La Unión,Antioquia,14.97
Fúquene,Cundinamarca,14.52
Saboyá,Boyacá,14.5
Nuevo Colón,Boyacá,14.37
Sogamoso,Boyacá,14.23
Sotará (Paispamba),Cauca,14.1
Samacá,Boyacá,14.05
Sopó,Cundinamarca,14.0
San Miguel de Sema,Boyacá,14.0
El Tambo,Cauca,13.9
Bogotá,Cundinamarca,13.81
Cerinza,Boyacá,13.8
Paipa,Boyacá,13.77
Tenjo,Cundinamarca,13.67
La Vega,Cundinamarca,13.63
Cerrito,Santander,13.62
Toca,Boyacá,13.6
Herrán,Norte de Santander,13.6
Santa Isabel,Tolima,13.6
Simijaca,Cundinamarca,13.5
Santa Rosa de Osos,Antioquia,13.4
Tabio,Cundinamarca,13.4
Guasca,Cundinamarca,13.3
Tangua,Nariño,13.2
Tunja,Boyacá,13.13
Mosquera,Cundinamarca,13.12
La Uvita,Boyacá,12.47
Pasto,Nariño,12.45
Silos,Norte de Santander,12.2
Duitama,Boyacá,12.18
Chocontá,Cundinamarca,12.12
Soacha,Cundinamarca,11.97
Pupiales,Nariño,11.9
Chita,Boyacá,11.8
Salamina,Caldas,11.65
Cuítiva,Boyacá,11.5
Sapuyes,Nariño,11.4
Ubaque,Cundinamarca,11.3
Aldana,Nariño,11.1
Túquerres,Nariño,11.05
San Sebastián,Cauca,10.8
Totoró,Cauca,10.45
Tona,Santander,8.8
Choachí,Cundinamarca,8.5
Guicán,Boyacá,6.77
Socotá,Boyacá,6.23
